"RSWKTag","url","language","year","title","publisher_city","publisher","singularTag","subject","schoollevel","titleAlt","author","schooltype"
"Geschichtsunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN672444313","ger","1890","Kommentar zu Serie III der Kulturgeschichtlichen Bilder","Leipzig","Leipziger Schulbilderverl. Wachsmuth",,"Geschichtsunterricht","Lehrmittel","Aus vergangenen Tagen",,
"Geschichtsunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN670594776","ger","1890","Kulturbilder aus Deutschlands Vergangenheit","Leipzig","Gräbner",,"Geschichtsunterricht","Lehrmittel",,,
"Geschichtsunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN669839930","ger","1890","Kleine Heimatskunde","Hannover","Carl Meyer (Gustav Prior)","[]","Geschichtsunterricht","Lehrmittel",,,
"Geschichtsunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN669697486","ger","1890","Die @Supplingenburger","Braunschweig","Bruhn (Appelhans & Pfenningstorff)",,"Geschichtsunterricht","Lehrmittel","Aus dem alten Sachsenlande",,
"Geschichtsunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN664285023","ger","1890","Übersetzungen zu dem Quellenbuch zur Geschichte der Neuzeit","Berlin","Gaertner",,"Geschichtsunterricht",,,,
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN663638720","ger","1890","Mittelalter","Berlin","Weidmann","[]","Geschichtsunterricht","Sekundarstufe 1","Leitfaden der Geschichte in Tabellenform",,"Gymnasium"
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN663087694","ger","1890","Geschichtstabellen für Gymnasien und Realschulen","Altenburg","Pierer","[]","Geschichtsunterricht","Sekundarstufe 1",,,"Gymnasium"
"Geschichtsunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN657389056","ger","1890","Die @weltgeschichtlichen Kämpfe des Altertums","Gotha","Perthes",,"Geschichtsunterricht","Lehrmittel",,,
"Geschichtsunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN65707618X","ger","1890","Geschichten aus der Geschichte","Königsberg i. Pr.","Koch","[]","Geschichtsunterricht","Lehrmittel",,,
"Geschichtsunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN657013676","ger","1890","Generalfeldmarschall Graf Moltke","Langensalza","Schulbuchh. Gressler",,"Geschichtsunterricht","Lehrmittel",,,
"Geschichtsunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN657010812","ger","1890","General Georg Leo von Caprivi","Langensalza","Schulbuchh. Gressler",,"Geschichtsunterricht","Lehrmittel",,,
"Geschichtsunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN657008214","ger","1890","Friedrich III.","Langensalza","Schulbuchh. Gressler",,"Geschichtsunterricht","Lehrmittel",,,
"Geschichtsunterricht,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN656241993","ger","1890","Elementarbuch für den Unterricht aus der Geschichte","Nürnberg","Korn",,"Geschichtsunterricht","Sekundarstufe 1",,,
"Geschichtsunterricht,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN655222545","ger","1890","Geschichtsbilder","Leipzig","Richter",,"Geschichtsunterricht","Sekundarstufe 1",,,
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN654996024","ger","1890","Thüringer Sagen und Nibelungensage","Dresden","Bleyl & Kaemmerer",,"Geschichtsunterricht","Sekundarstufe 1","Präparationen zur deutschen Geschichte",,"Gymnasium"
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN648845621","ger","1890","Alte Geschichte","Berlin","Weidmann","[]","Geschichtsunterricht","Sekundarstufe 1","Leitfaden der Geschichte in Tabellenform",,"Gymnasium"
"Geschichtsunterricht,Gymnasium,Sekundarstufe 2,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN647431947","ger","1890","Geschichtstabellen für die oberen Klassen von Gymnasien","Erfurt","Bartholomäus",,"Geschichtsunterricht","Sekundarstufe 2",,,"Gymnasium"
"Geschichtsunterricht,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN647401738","ger","1890","Vaterländische Geschichte für evangelische Schulen","Kreuznach","Schmithals",,"Geschichtsunterricht","Sekundarstufe 1",,,"Hauptschule"
"Geschichtsunterricht,Realschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN639563961",,"1890",,"Breslau","Hirt","[]","Geschichtsunterricht","Sekundarstufe 1","Erzählungen aus der Weltgeschichte",,"Realschule"
"Geschichtsunterricht,Realschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN639544517",,"1890",,"Breslau","Hirt","[]","Geschichtsunterricht","Sekundarstufe 1","Erzählungen aus der Weltgeschichte",,"Realschule"
"Geschichtsunterricht,Realschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN639543863",,"1890",,"Breslau","Hirt","[]","Geschichtsunterricht","Sekundarstufe 1","Erzählungen aus der Weltgeschichte",,"Realschule"
"Geschichtsunterricht,Realschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN638279518",,"1890","Die @mittlere Zeit","München","Oldenbourg","[]","Geschichtsunterricht","Sekundarstufe 1","Leitfaden für den ersten geschichtlichen Unterricht an Mittelschulen",,"Realschule"
"Geschichtsunterricht,Realschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN638170427",,"1890","Die @alte Zeit","München","Oldenbourg","[]","Geschichtsunterricht","Sekundarstufe 1","Leitfaden für den ersten geschichtlichen Unterricht an Mittelschulen",,"Realschule"
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN630684839",,"1890","Sagen und Geschichten aus dem Altertum","Paderborn [u.a.]","Schöningh",,"Geschichtsunterricht","Sekundarstufe 1","Sagen und Geschichten für den ersten Geschichtsunterricht",,"Gymnasium"
"Geschichtsunterricht,Sekundarstufe 2,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN621704903","ger","1890","Geschichts-Kursus für die oberen und mittleren Klassen höherer Lehranstalten und zum Selbstunterricht","Leipzig","Reichardt","[]","Geschichtsunterricht","Sekundarstufe 2",,,
"Geschichtsunterricht,Sekundarstufe 2,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN621640794",,"1890","Die @deutschen Freiheitskriege von 1813, 1814 und 1815","Hannover","Hahn","[]","Geschichtsunterricht","Sekundarstufe 2",,,
"Geschichtsunterricht,Sekundarstufe 2,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN620455675","ger","1890","Leitfaden für den Unterricht in der neueren Geschichte","Berlin","Grote","[]","Geschichtsunterricht","Sekundarstufe 2","Leitfaden für den geschichtlichen Unterricht in den oberen Klassen höherer Lehranstalten",,
"Deutschunterricht,Realschule,Sekundarstufe 1,Deutschland,Lesebuch,Online-Publikation","http://gei-digital.gei.de/cms/ppnresolver/?PPN826845711","ger","1889",,"Bielefeld [u.a.]","Velhagen & Klasing","[]","Muttersprachlicher  Unterricht","Sekundarstufe 1","Deutsches Lesebuch mit Bildern für gehobene Schulen",,"Realschule"
