"RSWKTag","url","language","year","title","publisher_city","publisher","singularTag","subject","schoollevel","titleAlt","author","schooltype"
"Geografieunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN727114999","ger","1903","Für die unteren Klassen","Leipzig","Freytag","[]","Geographieunterricht","Sekundarstufe 1","Lehrbuch der Erdkunde für höhere Schulen",,"Gymnasium"
"Geografieunterricht,Lehrerbildungsanstalt,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN725400366","ger","1903","Die @fremden Erdteile","Leipzig","Dürr","[]","Geographieunterricht","Lehrerbildung","Hilfsbuch der Erdkunde für Lehrerbildungsanstalten",,
"Geografieunterricht,Lehrerbildungsanstalt,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN722908938","ger","1903",,"Halle a. d. S.","Schroedel","[]","Geographieunterricht","Lehrerbildung","Länderkunde mit besonderer Berücksichtigung der Kulturgeographie",,
"Geografieunterricht,Lehrerbildungsanstalt,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN722313284","ger","1903","Lehrbuch der Erdkunde","Trier","Lintz",,"Geographieunterricht","Lehrerbildung",,,
"Geografieunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN720618800","ger","1903","Geographische Repetitionen","Halle a. S.","Verl. der Buchh. des Waisenhauses",,"Geographieunterricht","Sekundarstufe 1",,,"Gymnasium"
"Geografieunterricht,Sekundarstufe 2,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN720573459","ger","1903","Länderkunde für höhere Lehranstalten","Leipzig","Hirt","[]","Geographieunterricht","Sekundarstufe 2",,,
"Geografieunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN72026233X","ger","1903","Geographischer Leitfaden","Regensburg","Manz",,"Geographieunterricht","Sekundarstufe 1",,,"Gymnasium"
"Geschichtsunterricht,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN68853547X","ger","1903","Königreich Bayern","Leipzig","Voigtländer","[]","Geschichtsunterricht","Sekundarstufe 1","Landes- und Provinzialgeschichte",,
"Geschichtsunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN672723751","ger","1903","Kanon der im geschichtlichen Unterrichte der unteren und mittleren Klassen höherer Lehranstalten einzuprägenden Jahreszahlen","Halle a. S.","Verl. der Buchh. des Waisenhauses",,"Geschichtsunterricht","Lehrmittel",,,
"Geschichtsunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN670613711","ger","1903","Fürst Bismarcks Lebenswerk","Leipzig","Scheffer",,"Geschichtsunterricht","Lehrmittel",,,
"Geschichtsunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN667972714","ger","1903","Geschichtliches Lesebuch","Göttingen","Vandenhoeck u. Ruprecht",,"Geschichtsunterricht","Lehrmittel",,,
"Geschichtsunterricht,Deutschland,Atlas","http://gei-digital.gei.de/cms/ppnresolver/?PPN664473261","ger","1903","Senckpiehl's @Schul-Atlas für den Unterricht in der Geschichte","Leipzig","Dürr",,"Geschichtsunterricht",,,,
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN663660947",,"1903","Neuere Geschichte von 1648 - 1888","Leipzig","Teubner","[]","Geschichtsunterricht","Sekundarstufe 1","Lehrbuch der Geschichte für höhere Lehranstalten",,"Gymnasium"
"Geschichtsunterricht,Hauptschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN657403873","ger","1903","Von den ältesten Zeiten bis zum Westfälischen Frieden","Berlin","Nicolai","[]","Geschichtsunterricht","Sekundarstufe 1","Leitfaden für den Unterricht in der deutschen Geschichte",,"Hauptschule"
"Geschichtsunterricht,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN656269553","ger","1903","Kurzer Abriss der badischen Geschichte","Karlsruhe","Lang","[]","Geschichtsunterricht","Sekundarstufe 1",,,
"Geschichtsunterricht,Hauptschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN653868065","ger","1903","Geschichtsbilder","Berlin","Süsserott",,"Geschichtsunterricht","Sekundarstufe 1",,,"Hauptschule"
"Geschichtsunterricht,Hauptschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN64882036X","ger","1903","Geschichte des Altertums","Berlin","Süsserott",,"Geschichtsunterricht","Sekundarstufe 1",,,"Hauptschule"
"Geschichtsunterricht,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN64650858X","ger","1903","Geschichte des Deutschen Ritterordens","Breslau","Hirt",,"Geschichtsunterricht","Sekundarstufe 1","F. Hirts Realienbuch",,
"Geschichtsunterricht,Hauptschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN641049587",,"1903","Für die Mittelstufe","Breslau","Hirt","[]","Geschichtsunterricht","Sekundarstufe 1","Geschichtlicher Lern- und Wiederholungsstoff",,"Hauptschule"
"Geschichtsunterricht,Hauptschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN640961894",,"1903","Die @brandenburgisch-preußische Geschichte von ihren Anfängen bis zur Gegenwart","Berlin","Nicolai","[]","Geschichtsunterricht","Sekundarstufe 1","Leitfaden für den Unterricht in der deutschen Geschichte",,"Hauptschule"
"Geschichtsunterricht,Hauptschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN640958451",,"1903","Deutsche Geschichte von der Urzeit bis zum Ende des 30jährigen Krieges","Hannover [u.a.]","Carl Meyer (Gustav Prior)","[]","Geschichtsunterricht","Sekundarstufe 1","Lern- und Lesebuch für den Geschichts-Unterricht",,"Hauptschule"
"Geschichtsunterricht,Hauptschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN640707238","ger","1903","Handbuch der brandenburgisch-preußischen Geschichte","Breslau","Goerlich","[]","Geschichtsunterricht","Sekundarstufe 1","Theoretisch-praktisches Handbuch für den Geschichtsunterricht in preußischen Volksschulen",,"Hauptschule"
"Geschichtsunterricht,Realschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN637674979",,"1903","Geschichte für Mittelschulen und ähnliche Lehranstalten der Provinz Sachsen","Halle a.S.","Schroedel","[]","Geschichtsunterricht","Sekundarstufe 1",,,"Realschule"
"Geschichtsunterricht,Realschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN637539192",,"1903","Neuere Zeit vom Westfälischen Frieden bis zur Gegenwart","München","Oldenbourg","[]","Geschichtsunterricht","Sekundarstufe 1","Kurzer Lehrgang der vaterländischen Geschichte",,"Realschule"
"Geschichtsunterricht,Realschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN637391217",,"1903","Kurzer Lehrgang der Alten Geschichte","München","Oldenbourg","[]","Geschichtsunterricht","Sekundarstufe 1",,,"Realschule"
"Geschichtsunterricht,Lehrerbildungsanstalt,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN63640434X","ger","1903","Aus dem Altertum, dem Mittelalter und der Reformationszeit bis zum Dreißigjährigen Kriege","Leipzig","Dürr","[]","Geschichtsunterricht","Lehrerbildung","Geschichtsbetrachtungen",,
"Geschichtsunterricht,Lehrerbildungsanstalt,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN63566075X",,"1903","Quellenbuch für den Geschichtsunterricht in Seminaren","Breslau","Hirt","[]","Geschichtsunterricht","Lehrerbildung","Lehrbuch für den Geschichtsunterricht in Lehrerbildungsanstalten",,
"Geschichtsunterricht,Lehrerbildungsanstalt,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN63541385X",,"1903","Geschichte der Neuzeit von 1517 bis 1786","Leipzig","Teubner","[]","Geschichtsunterricht","Lehrerbildung","Lehrbuch der Geschichte für sächsische und thüringische Lehrerbildungsanstalten",,
"Geschichtsunterricht,Lehrerbildungsanstalt,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN632109947",,"1903","Deutsche Geschichte bis 1648","Hannover [u.a.]","Carl Meyer (Gustav Prior)","[]","Geschichtsunterricht","Lehrerbildung","Quellen-Lesebuch für den Unterricht in der vaterländischen Geschichte",,
"Geschichtsunterricht,Lehrerbildungsanstalt,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN632109335",,"1903","Die @Hohenzollern und das deutsche Vaterland","Hannover [u.a.]","Carl Meyer (Gustav Prior)","[]","Geschichtsunterricht","Lehrerbildung","Quellen-Lesebuch für den Unterricht in der vaterländischen Geschichte",,
"Geschichtsunterricht,Lehrerbildungsanstalt,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN632071850",,"1903","Deutsche, besonders brandenburgisch-preußische Geschichte bis zur Gegenwart","Hannover-List [u.a.]","Carl Meyer (Gustav Prior)","[]","Geschichtsunterricht","Lehrerbildung","Geschichte für Präparandenanstalten",,
"Geschichtsunterricht,Lehrerbildungsanstalt,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN632070293",,"1903","Die @vaterländische Geschichte von 1648 bis 1815","Hannover-List","Carl Meyer (Gustav Prior)","[]","Geschichtsunterricht","Lehrerbildung","Die @Geschichte für Lehrerbildungsanstalten",,
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN630632022",,"1903","Leitfaden für den Unterricht in der Geschichte an den unteren und mittleren Klassen höherer Lehranstalten","Stuttgart","Kohlhammer","[]","Geschichtsunterricht","Sekundarstufe 1",,,"Gymnasium"
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN629832277",,"1903","Alte Geschichte","Altenburg","Pierer","[]","Geschichtsunterricht","Sekundarstufe 1",,,"Gymnasium"
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN629821372",,"1903","Geschichte des Altertums","Leipzig","Teubner","[]","Geschichtsunterricht","Sekundarstufe 1","Lehrbuch der Geschichte für höhere Lehranstalten",,"Gymnasium"
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN629662053",,"1903","Deutsche, insbesondere brandenburgisch-preußische Geschichte vom Ausgange des Mittelalters bis zum Regierungsantritt Friedrichs des Großen","Wolfenbüttel","Zwißler","[]","Geschichtsunterricht","Sekundarstufe 1","Lehrbuch der Geschichte für höhere Lehranstalten",,"Gymnasium"
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN629660190",,"1903","Geschichte des Altertums","Wolfenbüttel","Zwißler","[]","Geschichtsunterricht","Sekundarstufe 1","Lehrbuch der Geschichte für höhere Lehranstalten",,"Gymnasium"
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN629531595",,"1903","Deutsche Geschichte für die mittleren Klassen","Halle a.d.S.","Buchh. des Waisenhauses","[]","Geschichtsunterricht","Sekundarstufe 1","Lehrbuch der Geschichte für höhere Lehranstalten",,"Gymnasium"
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN627238432",,"1903","Das @Mittelalter","Leipzig","Hirt","[]","Geschichtsunterricht","Sekundarstufe 1","Grundriß der Geschichte",,"Gymnasium"
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN622664417",,"1903","Lehrbuch der Geschichte des deutschen Volkes für die oberen Klassen katholischer höherer Mädchenschulen","Paderborn","Schöningh","[]","Geschichtsunterricht","Sekundarstufe 1",,,"Gymnasium"
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN622641719",,"1903","Lehrbuch der Geschichte des Altertums für die oberen Klassen höherer Mädchenschulen","Leipzig","Roßberg","[]","Geschichtsunterricht","Sekundarstufe 1",,,"Gymnasium"
"Geschichtsunterricht,Sekundarstufe 2,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN620977663",,"1903","Das @Altertum bis zum Tode des Augustus","Paderborn","Schöningh","[]","Geschichtsunterricht","Sekundarstufe 2","Lehrbuch der Geschichte für die oberen Klassen höherer Lehranstalten",,
"Geschichtsunterricht,Sekundarstufe 2,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN620686855",,"1903","Geschichte des Altertums","Hannover","Manz & Lange","[]","Geschichtsunterricht","Sekundarstufe 2","Lehrbuch der Geschichte für die oberen Klassen höherer Lehranstalten",,
"Geschichtsunterricht,Sekundarstufe 2,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN619077026",,"1903","Geschichte des Altertums","Leipzig","Voigtländer","[]","Geschichtsunterricht","Sekundarstufe 2","Grundriß der Geschichte für höhere Schulen",,
"Realien,Hauptschule,Sekundarstufe 1,Deutschland,Schulbuch,Online-Publikation","http://gei-digital.gei.de/cms/ppnresolver/?PPN816123004","ger","1902",,"Altenburg","Bonde","[]","Realien","Sekundarstufe 1","Kinderschatz für Schule und Haus",,"Hauptschule"
"Sozialkundeunterricht,Politischer Unterricht,Sekundarstufe 2,Deutschland,Schulbuch,Online-Publikation","http://gei-digital.gei.de/cms/ppnresolver/?PPN815805896","ger","1902","Kleine Staatskunde","Leipzig","Voigtländer","[]","Sozialkundeunterricht","Sekundarstufe 2",,,
"Sachunterricht,Grundschule,Deutschland,Schulbuch,Online-Publikation","http://gei-digital.gei.de/cms/ppnresolver/?PPN815429843","ger","1902","Das @erste Schuljahr","Leipzig","Hofmann","[]","Sachunterricht","Grundschule",,,
"Geografieunterricht,Sekundarstufe 2,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN797142746","ger","1902","Landeskunde der Provinz Posen","Breslau","Hirt","[]","Geographieunterricht","Sekundarstufe 2",,,
"Realien,Volksschule,Deutschland,Lesebuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN792587693","ger","1902","Lesebuch für ein- und zweiklassige Volksschulen","Braunschweig","Leipzig","[]","Realien",,,"Carl Carstensen",
"Realien,Hauptschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN792474538","ger","1902","Vaterländisches Lesebuch für die mehrklassige evangelische Volksschule Norddeutschlands","Halle a.S.","Buchh. des Waisenhauses","[]","Realien","Sekundarstufe 1",,,"Hauptschule"
"Realien,Hauptschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN792471075","ger","1902","Das @sechste Schuljahr","Langensalza","Schulbuchh.","[]","Realien","Sekundarstufe 1",,,"Hauptschule"
"Realien,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN792430557","ger","1902","Anschaulich-ausführliches Realienbuch","Bielefeld [u.a.]","Velhagen & Klasing","[]","Realien","Sekundarstufe 1",,,
"Realien,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN790897652","ger","1902","Illustriertes Realienbuch","Leipzig","Hofmann","[]","Realien","Sekundarstufe 1",,,
"Geografieunterricht,Deutschland,Atlas","http://gei-digital.gei.de/cms/ppnresolver/?PPN741296772","ger","1902","Handels-Atlas zur Verkehrs- und Wirtschaftsgeographie","Bielefeld [u.a.]","Velhagen & Klasing","[]","Geographieunterricht",,,,
"Geografieunterricht,Deutschland,Atlas","http://gei-digital.gei.de/cms/ppnresolver/?PPN741111004","ger","1902","Schul-Atlas","Braunschweig","Westermann","[]","Geographieunterricht",,,,
"Geografieunterricht,Deutschland,Atlas","http://gei-digital.gei.de/cms/ppnresolver/?PPN740372696","ger","1902","Atlas für bayerische Volksschulen","Braunschweig","Westermann","[]","Geographieunterricht",,,,
"Geografieunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN738178489","ger","1902","Deutschlands Kolonien","Berlin","Heymann",,"Geographieunterricht","Lehrmittel",,,
"Geografieunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN737246669","ger","1902","Lehrbuch der Geographie für Schul- und Selbstunterricht","Berlin","Schultze","[]","Geographieunterricht","Lehrmittel",,,
"Geografieunterricht,Deutschland,Lehrmittel","http://gei-digital.de/cms/ppnresolver/?PPN73607452X","ger","1902","Lernbuch der Erdkunde","Gotha","Perthes",,"Geographieunterricht","Lehrmittel",,,
"Geografieunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN735628556","ger","1902","Wandtafelskizzen für den Unterricht in der Vaterlandskunde","Leipzig","Dürr",,"Geographieunterricht","Lehrmittel",,,
"Geografieunterricht,Grundschule,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN734095740","ger","1902","Heimatkunde von Oberfranken ","Bayreuth","Heuschmann","[]","Geographieunterricht","Grundschule",,,
"Geografieunterricht,Grundschule,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN733818994","ger","1902","Die @Provinz Sachsen und das Herzogtum Anhalt","Magdeburg","Creutz","[]","Geographieunterricht","Grundschule",,,
"Geografieunterricht,Grundschule,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN733816029","ger","1902","Heimatkundlicher Anschauungsunterricht im zweiten und dritten Schuljahre","Leipzig","Hofmann",,"Geographieunterricht","Grundschule",,,
"Geografieunterricht,Hauptschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN733446272","ger","1902","Geographie","Bamberg","Buchner","[]","Geographieunterricht","Sekundarstufe 1","Offingers und Engelbrechts Inbegriff des Notwendigsten und Gemeinnützigsten aus der Natur und dem Menschenleben",,"Hauptschule"
"Geografieunterricht,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN733264514","ger","1902","Geographie","Breslau","Hirt",,"Geographieunterricht","Sekundarstufe 1","F. Hirts Realienbuch",,
"Geografieunterricht,Grundschule,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN733243096","ger","1902","Das @Großherzogtum Hessen","Gera","Hofmann","[]","Geographieunterricht","Grundschule",,,
"Geografieunterricht,Berufsbildende Schule,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN732714818","ger","1902","Grundzüge der Handels- und Verkehrsgeographie","Leipzig","Poeschel","[]","Geographieunterricht","Berufliche Bildungsgänge",,,
"Geografieunterricht,Hauptschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN731518969","ger","1902","Himmels- und Erdkunde","Cassel","Baier","[]","Geographieunterricht","Sekundarstufe 1","Kleine Geographie für Volks- und Bürgerschulen",,"Hauptschule"
"Geografieunterricht,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN729505685","ger","1902",,"Bielefeld","Velhagen & Klasing","[]","Geographieunterricht","Sekundarstufe 1","Lehrbuch der Geographie",,
"Geografieunterricht,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN729340147","ger","1902",,"Bielefeld","Velhagen & Klasing","[]","Geographieunterricht","Sekundarstufe 1","Lehrbuch der Geographie",,
"Geografieunterricht,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN729042782","ger","1902","Die @Methodik des erdkundlichen Unterrichts","Trier","Lintz",,"Geographieunterricht","Sekundarstufe 1","Methodisches Lehrbuch einer begründend-vergleichenden Erdkunde",,
"Geografieunterricht,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN728555468","ger","1902","Lehrbuch der Geographie","Bielefeld [u.a.]","Velhagen & Klasing","[]","Geographieunterricht","Sekundarstufe 1",,,
"Geografieunterricht,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN728466570","ger","1902","Kleine Erdkunde","Leipzig","Hirt","[]","Geographieunterricht","Sekundarstufe 1",,,
"Geografieunterricht,Lyzeum,Sekundarstufe 1,Schuljahr 5,Preußen,Deutschland,Schulbuch,Elektronische Publikation,Online-Publikation","http://gei-digital.gei.de/cms/ppnresolver/?PPN727860275","ger","1902","Deutschland (Mittelstufe) nebst weiterer Einführung in das Verständnis der Kartenbilder","Breslau","Hirt","[]","Geographieunterricht","Sekundarstufe 1","E. v. Seydlitzsche Geographie",,"Gymnasium"
"Geografieunterricht,Realschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN726881791","ger","1902","Europa und Deutschland","München","Oldenbourg","[]","Geographieunterricht","Sekundarstufe 1","Leitfaden der Geographie für Mittelschulen",,"Realschule"
"Geografieunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN726553328","ger","1902","Länderkunde Mitteleuropas, insbesondere des Deutschen Reiches (Unterstufe)","Breslau","Hirt",,"Geographieunterricht","Sekundarstufe 1","E. v. Seydlitzsche Geographie",,"Gymnasium"
"Geografieunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN726198986","ger","1902","Landeskunde des Deutschen Reiches","Breslau","Hirt",,"Geographieunterricht","Sekundarstufe 1","E. v. Seydlitzsche Geographie",,"Gymnasium"
"Geografieunterricht,Lehrerbildungsanstalt,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN725686154","ger","1902","Physische Geographie","Leipzig","Dürr","[]","Geographieunterricht","Lehrerbildung",,,
"Geografieunterricht,Lehrerbildungsanstalt,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN722912587","ger","1902","Das @Deutsche Reich","Halle a. d. S.","Schroedel","[]","Geographieunterricht","Lehrerbildung","Länderkunde mit besonderer Berücksichtigung der Kulturgeographie",,
"Geografieunterricht,Lehrerbildungsanstalt,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN722909586","ger","1902","Europa","Halle a. d. S.","Schroedel","[]","Geographieunterricht","Lehrerbildung","Länderkunde mit besonderer Berücksichtigung der Kulturgeographie",,
"Geografieunterricht,Lehrerbildungsanstalt,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN722907834","ger","1902","Die @fremden Erdteile","Halle a. d. S.","Schroedel","[]","Geographieunterricht","Lehrerbildung","Länderkunde mit besonderer Berücksichtigung der Kulturgeographie",,
"Geografieunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN720105366","ger","1902","Großes Lehrbuch der Geographie","Breslau","Hirt",,"Geographieunterricht","Sekundarstufe 1","E. v. Seydlitz'sche Geographie",,"Gymnasium"
"Geografieunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN720088801","ger","1902","Kleines Lehrbuch der Geographie","Breslau","Hirt",,"Geographieunterricht","Sekundarstufe 1","E. v. Seydlitz'sche Geographie",,"Gymnasium"
"Geschichtsunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN669693693","ger","1902","Im Kaiserhause zu Goslar","Braunschweig","Appelhans",,"Geschichtsunterricht","Lehrmittel","Aus dem alten Sachsenlande",,
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN663659787","ger","1902","Geschichte der Neuzeit","München [u.a.]","Franz","[]","Geschichtsunterricht","Sekundarstufe 1","Lehrbuch der Geschichte für höhere Mädchenschulen und verwandte Anstalten",,"Gymnasium"
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN663658608","ger","1902","Geschichte des Altertums","München [u.a.]","Franz","[]","Geschichtsunterricht","Sekundarstufe 1","Lehrbuch der Geschichte für höhere Mädchenschulen und verwandte Anstalten",,"Gymnasium"
"Geschichtsunterricht,Realschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN663412129",,"1902","Vom Beginn des Dreißigjährigen Krieges bis zum Tode Wilhelms I.","Erlangen [u.a.]","Deichert","[]","Geschichtsunterricht","Sekundarstufe 1","Lehrbuch der deutschen Geschichte",,"Realschule"
"Geschichtsunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN657424722","ger","1902","Geschichte des Dreißigjährigen Krieges","Leipzig","Freytag",,"Geschichtsunterricht","Lehrmittel",,,
"Geschichtsunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN657063363","ger","1902","Das @Zeitalter Friedrichs des Großen, Deutschland in der ersten Hälfte des neunzehnten Jahrhunderts, Das Zeitalter Kaiser Wilhelms I.","Langensalza","Schulbuchh. Greßler",,"Geschichtsunterricht","Lehrmittel","Deutsche Kulturgeschichte von den ältesten Zeiten bis zur Gegenwart",,
"Geschichtsunterricht,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN656314117","ger","1902","Bergers @Erzählungen aus der Weltgeschichte","Karlsruhe","Lang","[]","Geschichtsunterricht","Sekundarstufe 1",,,
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN647626241","ger","1902","Kanon der einzuprägenden Jahreszahlen","Paderborn","Hense",,"Geschichtsunterricht","Sekundarstufe 1",,,"Gymnasium"
"Geschichtsunterricht,Hauptschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN64743122X","ger","1902","Kanon der einzuprägenden Jahreszahlen","Bunzlau","Muschket",,"Geschichtsunterricht","Sekundarstufe 1",,,"Hauptschule"
"Geschichtsunterricht,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN646501003","ger","1902","Provinz Posen","Leipzig","Voigtländer","[]","Geschichtsunterricht","Sekundarstufe 1","Landes- und Provinzialgeschichte",,
