name,lat,lon
Rastatt,48.8591174,8.2059096
Recklinghausen,51.6140649,7.1979453
Rendsburg,54.3080869,9.6606993
Rodenberg,52.266667,9.366667
Rostock i. M.,54.0924406,12.0991466
Rotweil,48.1610687,8.6316219
Saarlouis,49.3134606,6.7522865
Salzburg,47.80949,13.05501
Schneeberg,50.5954901,12.6386475
Schwedt,53.0624695,14.2734639
Solingen,51.1702072,7.0831408
Sondheim v. d. Rhön,50.464187,10.1581391
Speyer a.Rh.,49.3172765,8.4412172
Stadthagen,52.3252099,9.1998226
Stargard,53.3364746,15.0503771
Stolberg (Rheinl.),50.7730884,6.2251934
Stolp,54.464148,17.0284824
Stralsund,54.3090654,13.0770347
Straubing,48.8777333,12.5801538
Suderburg-Hösseringen,52.8566169,10.4150476
Sulzbach,49.003352,9.5025263
Tauberbischofsheim,49.6263199,9.6559606
Tempelburg,,
Thorn,53.0137902,18.5984437
Ütersen,,
Verden,52.9347982,9.2329647
Vohwinkel,51.2337172,7.0645395
W Budéschiie,,
Waldkirch,48.0914682,7.9586468
Wasserburg,48.0527463,12.224529
Weinheim (Baden),49.544964,8.6602703
Werl,51.5583773,7.9114426
Wetzlar,50.5589802,8.5081646
Worms,49.6341372,8.3507182
Wurzen [u.a.],51.3698806,12.7436557
Zeitz,51.0443266,12.1402795
Zürich,47.3768866,8.541694
