place,toPlace,lat,lng,oldPlace,num
Delmenhorst,Delmenhorst,53.0521886,8.6355932,,0
Detmold,Detmold,51.9384783,8.868638,,0
Diessen vor München,Dießen am Ammersee,47.9479298,11.1032858,Diessen vor München,0
Dil[l]ingen,Dillingen an der Donau,48.5790918,10.4940239,,0
Döbeln,Döbeln,51.1229322,13.1167196,,0
Dresden-A.,Dresden,51.0504088,13.7372621,,0
Dreßden und Leipzig,Dresden,51.0504088,13.7372621,,0
Düren,Düren,50.8029513,6.481105,,0
Ebersdorf,Ebersdorf,50.2208366,11.0713862,,0
Ehingen a.d.D.,Ehingen,48.2928997,9.6612347,,0
Elberfeld [u.a.],Elberfeld,51.249266,7.1129837,,0
Eschweiler,Eschweiler,50.8107322,6.263075,,0
Eßlingen [u.a.],Eßlingen,49.9147828,6.527101,,0
Frankfurt a. M. [u.a.],Frankfurt am Main,50.1109221,8.6821267,,0
Frankfurt und Leipzig,Frankfurt am Main,50.1109221,8.6821267,,0
Frankfurt/Main,Frankfurt am Main,50.1109221,8.6821267,,0
Gebweiler,Gebweiler,47.911586,7.209336,,0
Gebweiler [u.a.],Gebweiler,47.911586,7.209336,,0
Germantaun,Germantaun,43.2286174,-88.1103691,,0
"Germantown, [Pa.]",Germantaun,43.2286174,-88.1103691,,0
Giesen  und Darmstadt,Gießen,50.5840512,8.6784031,,0
Glogau [u.a.],Glogau,51.6635852,16.0846672,,0
Greifswald,Greifswald,54.0865463,13.3923414,,0
Greiz,Greiz,50.6585555,12.2077126,,0
Groß-Lichterfelde,Groß-Lichterfelde,52.4293696,13.3077015,,0
Groß-Strehlitz,Groß-Strehlitz,50.51092,18.29987,,0
Halle a.d. Saale,Halle (Saale),51.4969802,11.9688029,,0
Halle im Magdeburg.,Halle (Saale),51.4969802,11.9688029,,0
Halle im Magdeburgischen,Halle (Saale),51.4969802,11.9688029,,0
"Halle, in Magdeburg",Halle (Saale),51.4969802,11.9688029,,0
Hamburg [u.a.],Hamburg,53.5510846,9.9936818,,0
Hamm,Hamm,51.6738583,7.8159816,,0
Hannover [u. a.],Hannover,52.3758916,9.7320104,,0
Harburg an der Elbe,Hamburg-Harburg,53.4607785,9.9834184,,0
Heiligenstadt,Heiligenstadt,48.274479,16.3347264,,0
Heiligenstadt (Eichsfeld),Heiligenstadt,48.274479,16.3347264,,0
