RSWKTag,year,subject,publisher_city,publisher,schoollevel,id,title,language,schooltype,author
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch",1892,Erstleseunterricht,Halle,"Schroedel, Pädag. Verl.",Grundschule,GEIsb000020480,"Fibel für den vereinigten Anschauungs-, Zeichen-, Schreib- und Leseunterricht",,,
"Deutschunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Lesebuch",1892,Muttersprachlicher  Unterricht,Breslau,j,Sekundarstufe 1,GEIsb2020054x07892,,ger,Gymnasium,
"Deutschunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Lesebuch",1892,Muttersprachlicher  Unterricht,Berlin,Mittler,Sekundarstufe 1,GEIsb000017041,Vaterländisches Lesebuch für untere und mittlere Klassen höherer Lehranstalten,ger,Gymnasium,
"Geschichtsunterricht,Sekundarstufe 1,Deutschland,Schulbuch",1892,Geschichtsunterricht,Gera,Hofmann,Sekundarstufe 1,GEIsb000011799,Das @erste Geschichtsbuch,ger,,
"Geschichtsunterricht,Deutschland,Lehrmittel",1892,Geschichtsunterricht,Berlin,Nicolai,k07,GEIsb2600047x02892,Das @Mittelalter,ger,,
"Deutschunterricht,Sekundarstufe 2,Deutschland,Lesebuch",1892,Muttersprachlicher  Unterricht,Freiburg im Breisgau,Herder,Sekundarstufe 2,GEIsb2140026x020892,Dichtung der Neuzeit,ger,,
"Deutschunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Lesebuch",1892,Muttersprachlicher  Unterricht,Berlin,Grote,Sekundarstufe 1,GEIsb2050005x02892,@,ger,Gymnasium,
"Deutschunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Lesebuch",1892,Muttersprachlicher  Unterricht,Berlin,Mittler,Sekundarstufe 1,GEIsb2050052x021x010892,,ger,Gymnasium,
"Geschichtsunterricht,Sekundarstufe 1,Deutschland,Schulbuch",1892,Geschichtsunterricht,Leipzig,Reisland,Sekundarstufe 1,GEIsb2480025x02892,Das @Mittelalter,,,
"Geografieunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch",1892,Geographieunterricht,Breslau,Hirt,Sekundarstufe 1,GEIsb2250001x02089211,Kleine Schul-Geographie,,Gymnasium,
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch",1892,Geschichtsunterricht,Leipzig,Hirt,Sekundarstufe 1,GEIsb000019501,Leitfaden für den Unterricht in der Geschichte,,Gymnasium,
"Deutschunterricht,Sekundarstufe 2,Deutschland,Lesebuch",1892,Muttersprachlicher  Unterricht,Trier,Lintz,Sekundarstufe 2,GEIsb2050083x021x01892,Deutsche Dichtung im Mittelalter,ger,,
"Deutschunterricht,Grundschule,Deutschland,Lesebuch",1892,Muttersprachlicher  Unterricht,Berlin,Mittler,Grundschule,GEIsb2010441x01892,,ger,,
"Deutschunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Lesebuch",1892,Muttersprachlicher  Unterricht,Leipzig,Teubner,Sekundarstufe 1,GEIsb2020031x03892,Mittelstufe: Erster Kursus,ger,Gymnasium,
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch",1892,Geschichtsunterricht,Stuttgart,Krabbe,Sekundarstufe 1,GEIsb000003778,Leitfaden der Geschichte für die unteren und mittleren Klassen höherer Lehranstalten,,Gymnasium,
"Geschichtsunterricht,Sekundarstufe 1,Deutschland,Schulbuch",1892,Geschichtsunterricht,Breslau,Hirt,Sekundarstufe 1,GEIsb2840015x27892,Geschichte,,,
"Geografieunterricht,Sekundarstufe 1,Deutschland,Schulbuch",1892,Geographieunterricht,Halle,Schroedel,Sekundarstufe 1,GEIsb2210015x02892,,ger,,
"Geografieunterricht,Sekundarstufe 2,Deutschland,Schulbuch",1892,Geographieunterricht,Freiburg im Breisgau,Herder,Sekundarstufe 2,GEIsb000022396,Lehrbuch der vergleichenden Erdbeschreibung,ger,,
"Geografieunterricht,Deutschland,Lehrmittel",1892,Geographieunterricht,Leipzig,Hinrichs,k07,GEIsb2400029x06892,Charakterbilder aus Asien,ger,,
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch",1892,Geschichtsunterricht,Dresden,Bleyl & Kaemmerer,Sekundarstufe 1,GEIsb2480009x02892,Von Armin bis zu Otto dem Großen,ger,Gymnasium,
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch",1892,Geschichtsunterricht,Hannover,Hahn,Sekundarstufe 1,GEIsb000018442,Lehrbuch der allgemeinen Geschichte für höhere Unterrichtsanstalten,,Gymnasium,
"Geografieunterricht,Sekundarstufe 1,Deutschland,Schulbuch",1892,Geographieunterricht,Flensburg,Westphalen,Sekundarstufe 1,GEIsb2240027x01892,Deutschland,ger,,
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch",1892,Geschichtsunterricht,Leipzig,Kesselring,Sekundarstufe 1,GEIsb1490022x02892,Für den Unterricht in Mittelklassen berechnet,,Gymnasium,
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch",1892,Erstleseunterricht,Breslau,Hirt,Grundschule,GEIsb2010151x01892,Schreib- und Lese-Fibel,,,
"Realien,Sekundarstufe 1,Deutschland,Schulbuch",1892,Realien,Breslau,Hirt,Sekundarstufe 1,GEIsb2840015x02892,,ger,,
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch",1892,Erstleseunterricht,Braunschweig,Appelhans & Pfenningstorff,Grundschule,GEIsb000009630,"Fibel, nach der Schreiblese- und Normalwortmethode",,,
"Sachunterricht,Grundschule,Deutschland,Schulbuch",1892,Sachunterricht,Langensalza,Schulbuchh.,Grundschule,GEIsb000014870,Das @erste Schuljahr,,,
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch",1892,Geschichtsunterricht,Altenburg,Pierer,Sekundarstufe 1,GEIsb000012179,Leitfaden für die biographische Vorstufe des Geschichtsunterrichts,,Gymnasium,
"Geschichtsunterricht,Sekundarstufe 1,Deutschland,Schulbuch",1892,Geschichtsunterricht,Berlin,Simion,Sekundarstufe 1,GEIsb000012264,Leitfaden der preußischen Geschichte,,,
"Geschichtsunterricht,Sekundarstufe 2,Deutschland,Schulbuch",1892,Geschichtsunterricht,Wiesbaden,Kunze,Sekundarstufe 2,GEIsb2530036x012892,Alte Geschichte,,,
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch,Deutschunterricht,Grundschule,Deutschland,Lesebuch",1892,Erstleseunterricht,Altona,Harder,Grundschule,GEIsb000007507,@,ger,,
"Geschichtsunterricht,Realschule,Sekundarstufe 1,Deutschland,Schulbuch",1892,Geschichtsunterricht,Halle,Schroedel,Sekundarstufe 1,GEIsb000006759,Lehr- und Lesebuch für den Deutschen Geschichtsunterricht,,Realschule,
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch",1892,Geschichtsunterricht,Dresden,Bleyl & Kaemmerer,Sekundarstufe 1,GEIsb24800091x02892,Von Armin bis zu Otto dem Großen,ger,Gymnasium,
"Geografieunterricht,Sekundarstufe 1,Deutschland,Schulbuch",1892,Geographieunterricht,Breslau,Hirt,Sekundarstufe 1,GEIsb000011068,Westfalen,ger,,
"Deutschunterricht,Lehrerbildungsanstalt,Deutschland,Lesebuch",1892,Muttersprachlicher  Unterricht,Gotha,Thienemann,k08,GEIsb2160003x01892,Für Seminarvorbereitungsanstalten und Fortbildungsschulen,ger,,
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch",1892,Geschichtsunterricht,Aachen,Barth,Sekundarstufe 1,GEIsb2450022x01892,,,Gymnasium,
"Geografieunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch",1892,Geographieunterricht,Breslau,Hirt,Sekundarstufe 1,GEIsb2250001x0208923,Kleine Schul-Geographie,ger,Gymnasium,
